id,date,tweet
1321958747342819328,2020-10-29 23:35:00+00:00,"Democrats said flatten the curve and don't overrun hospitals, then reopen.

We did that.

Then it was ""no spikes.""

Now it's ""We gotta have a vaccine, but we won't trust it if it's under Trump.""

Do these morons know Trump isn't developing the vaccine - Pfizer and J&amp;J are?"
1325188447670210562,2020-11-07 21:28:41+00:00,"🚨GIVEAWAY ALERT🚨

Does #FirstStrike have you wanting to get in on the action?

We're giving away one of our Localhost PC's and some merch for you to step up your game!

Tag a friend who could use an upgrade and sign up here: https://t.co/KvriMzooKo https://t.co/jm4hZq8Nys"
1321951267128705025,2020-10-29 23:05:17+00:00,"Pfizer CEO Albert Bourla (a veterinarian) was paid $17.9 million in 2019.

Makes Eliquis 180 tabs cash price $1,666.99   !

Heart med mfg / sold jointly with Bristol Myers Squibb.
Giovanni  Caforio CEO was paid $18,687,123 in 2019. 

Accounting for the PRICE GOUGING by BIG PHARMA"
1321918129732157440,2020-10-29 20:53:36+00:00,Pfizer said it hopes to have data ready from its trial by the end of the month. (For FDA approval) It says it hopes to deliver 100 million doses to the government by the end of the year. Astra-Zeneca hopes to have its vaccine ready before the end of the year.
1321908176145567745,2020-10-29 20:14:03+00:00,"Moderna &amp; Pfizer announced today that they should have COVID therapeutics available by December. 
@POTUS said it would happen - it is. 
@POTUS said the 3rd Quarter GDP would be fantastic - it is.
Promises Made; Promises Kept!"
1321907459011842049,2020-10-29 20:11:12+00:00,"Today I'm serving some concentric, slain, quilted, diamond Pfizer realness."
1321905903248003072,2020-10-29 20:05:01+00:00,"GLAXOSMITHCLINE,PFIZER,ASTRA ZENEKA WILL BE CHARGED WITH CRIMES AGAINST HUMANITY,WITH THE PERPETRATORS GOVERMENT AND GLOBALIST CABAL,AND ALL WHO ARE COMPLICIT IN THE CRIMES AGAINST HUMANITY ON WE THE PEOPLE!"
1321903948580691968,2020-10-29 19:57:15+00:00,"GERMANY COULD BE ONE OF THE FIRST COUNTRIES TO START IMMUNIZING PEOPLE AGAINST COVID-19 UNDER A PLAN BEING ROLLED OUT BY THE GOVERNMENT AND BIONTECH (BNTX), PFIZER'S (PFE) VACCINE JV PARTNER, ACCORDING TO WSJ SOURCES"
1321903697132167169,2020-10-29 19:56:15+00:00,Germany could be one of the first places to receive Pfizer $PFE and BioNTech's $BNTX Covid-19 vaccine
1321902270414573573,2020-10-29 19:50:35+00:00,"#DrFauci when you say Pfizer and Moderna vaccines are ""neck and neck"" you completely negate your warning that the pandemic may be with us until 2022

When people hear ""neck and neck"" they think:

Oh, the pandemic is almost over"
1321891320563179525,2020-10-29 19:07:05+00:00,"Dr. Mikael Dolsten of @pfizer asks our panelists about how to address the public's concern of TOO many vaccines. Panelists agree that vaccines are essential and “if you want to look at non-vaccinated world, look at #COVID19, this is what happens when there are no vaccines.”"
1321885818194198528,2020-10-29 18:45:13+00:00,#CrookedJoeBiden  going to reduce drug prices.....like hell. Obama extended Pfizer’s patent on Lipitor in 2009 to get support for his ACA.
1321877573173915648,2020-10-29 18:12:27+00:00,"While #stroke rates are declining in Europe, stroke risk could potentially be reduced by raising awareness of risk factors according to @TheEIU report, supported by the BMS-Pfizer Alliance, which surveyed 250+ executives from groups across the healthcare spectrum."
1321865011384487937,2020-10-29 17:22:32+00:00,"How long are boneheads going to recommend buying @moderna_tx stock &amp; not discuss the convoluted scenario with @ArbutusBio @CureVacRNA the LNP licenses/sub licenses, &amp; the 069 patent from Arbutus which is the basis for @pfizer BNT162 project @VivekGRamaswamy #CNBC #COVID19"
1321859443882037249,2020-10-29 17:00:25+00:00,"Moderna, Pfizer Say They’re Close to COVID-19 Vaccine, But Huge Problems Remain

Remember they are not liable"
1321858860601221121,2020-10-29 16:58:05+00:00,"Germany could be one of the first countries to start immunizing people against COVID-19 under a plan being rolled out by the government and BioNTech ( $BNTX ), Pfizer's ( $PFE ) vaccine JV partner"
1321857616964808707,2020-10-29 16:53:09+00:00,"Germany could be one of the first countries to start immunizing people against COVID-19 under a plan being rolled out by the government and BioNTech (BNTX), Pfizer's (PFE) vaccine JV partner, according to WSJ sources"
1321855637525991424,2020-10-29 16:45:17+00:00,"#NEW: INDIANAPOLIS (AP) — State health officials say federal officials have indicated a vaccine could be shipped to the state by mid to late November. Indiana's health commissioner, Dr. Kristina Box says the first vaccine is likely to be a two-dose version from Pfizer."
1321851516290957313,2020-10-29 16:28:54+00:00,"Research shows that COVID-19 immunity is more complicated than many would suspect, and recently, Pfizer, the current US frontrunner delay the release of trial data, the team warned that there might never be a working vaccine, we do not know that we will ever have a vaccine at all"
1321850287217381382,2020-10-29 16:24:01+00:00,The government has bought 20 million doses of a German vaccine backed by @pfizer which could be ready to distribute before Christmas. Confirmation of whether it works is likely to come before an Oxford-@AstraZeneca  update.
1321848291097792512,2020-10-29 16:16:06+00:00,"Moderna CEO: if look at demographics [of covid-19 vaccine trials], it's very consistent w/American population. They're only doing clinical trials in US at this point due to the size of their company &amp; resources. [compare size with Pfizer &amp; J&amp;J} #prixgalien"
1321837882659819520,2020-10-29 15:34:44+00:00,So it looks like the coronavirus vaccine could be ready by xmas with an american company PFIZER leading the race which already makes a net income of 16.27 billion usd! Shock horror this virus has all been about money with 🇺🇸  set to profit as per usual
1321837444258357249,2020-10-29 15:32:59+00:00,"#Raytheon +0.76%
#JPMorgan +0.18%
#InternationalPaperCo +0.47%
#Pfizer -0.97%
#Travelers +0.93%

My top picks"
1321825243602817024,2020-10-29 14:44:31+00:00,"The government has bought 20 million doses of a German vaccine backed by Pfizer which could be ready to distribute before Christmas.

obviously for Parliament and civil service

the 90 million pre order for everyone in the UK"
1321824084422963200,2020-10-29 14:39:54+00:00,Publicly funded elections i meant not pfizer Ticket symbol
1321822268675141633,2020-10-29 14:32:41+00:00,"RESULT BASED STOCKS:

1) CATERPILLAR - BUY

2) AMD - BUY

3) PFIZER - BUY"
1321819374903242757,2020-10-29 14:21:11+00:00,"Chris Boshoff, CDO oncology at @pfizer : “we need to make our clinical trials more patient centric and less site centric”
#BreastCancerImpact
#PatientCentric #BreastCancer #ClinicalTrial 
@Pfizer_France"
1321817545977012224,2020-10-29 14:13:55+00:00,"Stories of a vaccine for Christmas, and where there’s smoke, there’s Pfizer @john_siracusa"
1321811565763424257,2020-10-29 13:50:10+00:00,$pfe @Pfizer CEO officially changes his name to Dr. Postponed.
1321811299077074944,2020-10-29 13:49:06+00:00,"So news today... Pfizer will probably have a #Covid19 vaccine ready in weeks.
This is how governments will end this madness and claim every illogical decision made was justified."
1321805782732754944,2020-10-29 13:27:11+00:00,"Congratulations to Dr. Vernon and our outstanding Cancer Prevention, Control &amp; Population Health team on their new grant Cancer Health Awareness through screeNinG and Education (CHANGE) for Public Housing Residents from ACS &amp; Pfizer, helping address healthcare disparities in GA."
1321805644681383937,2020-10-29 13:26:38+00:00,"SO 2 our STEMWeek region hosts: Boyd Corporation (Woburn) CGI Consultants, FAA, @iRobot, @LatinoSTEM, Living BECOME LLC, @MassScienceFair Region IV, @NovartisUS, @Pfizer (Andover), SGH, STEM Education Club Winchester High, @STEMscopes, Tufts STEM Ambassadors, Transportation You"
1321780790615855105,2020-10-29 11:47:52+00:00,"Dr Dena Grayson @DrDenaGrayson 
I see local news in Indiana are showing information that virus vaccine Pfizer in late Nov and Moderna in Dec. No FDA approval, but they act like it is here.  Too close to voting day not a coincidence."
1321770683110752261,2020-10-29 11:07:42+00:00,Pfizer Vaccine?  Wonder how many MP's have shares in that #JeremyVine
1321763784172646403,2020-10-29 10:40:17+00:00,"U.K. Government Expects Pfizer's Vaccine Verdict Before Christmas

Related Tickers: $AZN $BNTX $PFE"
1321763565620072448,2020-10-29 10:39:25+00:00,"$BNTX(77.54) up 5  Biotech
Reuters reports that senior sources in the British government expect a verdict on Pfizer Inc's (NYSE: PFE) COVID-19 vaccine results, before AstraZeneca Plc's (NASDAQ: AZN) trials,"
1321750743775244289,2020-10-29 09:48:28+00:00,German Pfizer vaccine could be ready before Oxford-AstraZeneca injection and be given to Brits before Christmas...
1321748527190597633,2020-10-29 09:39:40+00:00,Hey @DailyMailUK error on page 6 today. Pfizer is an American drug company not German. Ridiculous mistake considering the number of medical stories the paper publishes.
1321747363241799681,2020-10-29 09:35:02+00:00,UK government believes that a German vaccine backed by Pfizer could be ready to distribute before Christmas with the first doses earmarked for the elderly and vulnerable.
1321714930995834880,2020-10-29 07:26:10+00:00,"The Pfizer (Germany) vaccine is one of six to which Britain has secured early access, with 40 million doses already on order. To be vaccinated, each person needs two doses. (The Times. 29.10.20). Ko LV dara? @Dumpis. Viņķele ir mani nobloķējusi."
